#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
  40.0000000    2.3762522885e-09   -9.3302889235e-10    1.8909417593e-16   -1.7859111443e-16    4.0736931612e-17   -2.7580545800e-17
  41.0000000    3.5499687839e-09   -2.7777107213e-10    2.1638453916e-16    1.8182133925e-17    1.0361081666e-17   -4.9038162989e-17
  42.0000000   -5.5133594910e-09    1.0992451166e-10   -2.0887989105e-16   -2.4115312436e-16   -7.4729036179e-17    4.9017484868e-18
  43.0000000   -7.5879713577e-09    9.2272904975e-10   -3.6582935798e-17   -5.1538666252e-16   -1.0144492927e-16   -6.0191573805e-17
  44.0000000    6.9760813935e-09    1.9681535063e-09    8.7960711434e-17   -3.0853323181e-16   -9.9165892480e-17   -5.1514011310e-17
  45.0000000    1.1020140116e-08    4.9787098351e-10    2.6519441936e-16    4.3191533359e-16   -3.6874824905e-17   -7.1482704743e-17
  46.0000000   -5.1876111554e-09   -3.0008403249e-09    1.7654560312e-16    1.9498615911e-15   -5.7350326749e-17   -7.9198880706e-17
  47.0000000   -1.2224870218e-08   -4.8176361928e-09   -3.1755098971e-16    1.7625379994e-15   -3.8383696136e-17   -1.6513028619e-17
  48.0000000    1.8093278848e-09   -2.0610042581e-09   -9.5820026139e-16   -1.4547769634e-15    2.2266654806e-17    2.2115660412e-17
  49.0000000    1.0965159574e-08    7.4946138439e-09   -1.0098187488e-15   -3.0825040327e-15   -2.4446185611e-17    9.9011000821e-18
  50.0000000    1.3513130208e-09    1.4863434958e-08    2.0691436637e-16    3.8453105504e-15   -2.8101592942e-17    1.0361556622e-16
  51.0000000   -6.0011709586e-09   -5.7530756852e-10    1.0953199910e-15    1.5443394512e-14    2.7946649503e-17   -5.8145412384e-17
  52.0000000    7.8406299688e-10   -1.9865775773e-08    4.3301359465e-16   -8.4013066490e-16   -2.1882321118e-17   -7.9234219366e-17
  53.0000000    7.5806628034e-10   -1.4278860968e-08    3.0834440772e-15   -7.5722894994e-14    4.4888042421e-17    3.5642238972e-17
  54.0000000   -7.3023028489e-09   -4.8519873697e-09    1.4552928030e-14   -1.6060809950e-13    4.5100401919e-17   -2.7743741671e-17
  55.0000000   -5.1527157760e-10   -4.9395524421e-09    2.9575217492e-14   -8.8191183292e-14    1.5403508158e-17   -6.5032370265e-18
  56.0000000    2.7509847768e-09    1.1374041052e-08    2.9080272122e-14    2.7355912822e-13    6.0076614094e-17   -1.8050212995e-17
  57.0000000   -8.8916769721e-09    3.7658748045e-08    7.7984301130e-15    7.2403426268e-13    5.8314354635e-17   -6.0573849805e-17
  58.0000000   -2.3685709591e-09    5.9215647735e-08   -3.7475362651e-14    6.9171335513e-13    1.2774575693e-17   -4.8324094945e-17
  59.0000000    2.6278855751e-08    8.6391163671e-08   -2.2453864728e-13   -2.1520928805e-13   -4.2840969297e-17    9.3777869878e-17
  60.0000000    5.6085544794e-08    7.9632362396e-08   -8.0253999660e-13   -1.4577178683e-12   -9.8619264372e-17    1.2885515769e-16
  61.0000000    7.1743447350e-08    2.1856030302e-08   -1.6698953063e-12   -1.6552504499e-12   -1.2470691837e-16    5.4288129736e-17
  62.0000000    4.2027957211e-08   -5.5805945760e-08   -1.5697019553e-12    3.9933437237e-14   -1.2857537000e-16    6.8597122004e-17
  63.0000000   -1.9266397085e-08   -1.3879085540e-07    1.8895498575e-12    2.4789604562e-12   -2.5693145439e-17    1.0911449992e-16
  64.0000000   -3.8559987517e-08   -2.0524911809e-07    1.0279795909e-11    3.0503002995e-12   -1.8109176391e-17    1.0479251935e-16
  65.0000000   -2.3484960078e-08   -2.2991623462e-07    2.1014266789e-11    2.7042767335e-13   -1.2334807912e-17    6.2435297652e-17
  66.0000000   -5.1988947514e-08   -2.0900805924e-07    2.4458893093e-11   -5.0496206315e-12   -1.1502131791e-17    5.4190878204e-17
  67.0000000   -1.5120078774e-07   -1.6918670795e-07    3.1078865366e-12   -1.1545596120e-11   -6.4888309233e-17   -1.6245602377e-17
  68.0000000   -2.5490968932e-07   -1.5297038284e-07   -6.1791492575e-11   -1.5759224821e-11   -1.5920828245e-17    4.7329590447e-17
  69.0000000   -2.3318038251e-07   -1.4024740474e-07   -1.6320858631e-10   -5.0202301562e-12   -1.0060268403e-16    3.7961501768e-17
  70.0000000   -5.6691630919e-08   -5.3295181225e-09   -2.2573230579e-10    3.7451227964e-11   -9.7459288782e-17    1.1664199830e-17
  71.0000000    1.1815849114e-07    3.4595761735e-07   -1.0999809613e-10    9.8628975892e-11   -2.2143624491e-17    6.0061198011e-17
   1.0000000    2.4404181246e-16   -4.8195267174e-16    1.3031779948e-16    8.0022964004e-17    7.4855638625e-17   -6.0617459764e-17
   2.0000000   -4.5865860042e-16   -8.4179591901e-16   -1.1921042742e-18    8.6215395852e-17    6.0756022395e-17   -8.0180615967e-17
   3.0000000    1.2302211865e-16    3.9480401936e-17    2.1553413448e-17    1.1769702279e-17   -2.8888614617e-17   -1.2535160614e-16
   4.0000000    5.5745441414e-16    2.0633938977e-16   -3.7028344061e-17   -5.4337206514e-18   -2.8648049214e-17   -6.3366211216e-17
   5.0000000   -2.6194696698e-16   -1.5520835112e-17    5.1319158327e-17    3.3677092084e-17    1.4605573363e-17    2.3977808035e-18
   6.0000000    1.9476496217e-16    9.2524035124e-17    1.3986581215e-17    8.9256051709e-17    4.8103735941e-17    4.5116053566e-17
   7.0000000    1.2364041700e-16    5.2946489355e-16   -2.0960168912e-17   -2.7225195115e-17   -1.8383816091e-17    4.0139898347e-17
