#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
   0.0000000    2.5295657536e-16   -1.3992383368e-17   -1.0453030481e-16    1.3161021307e-17
   1.0000000   -3.9070735647e-16    1.3309701208e-16   -1.7099194926e-16   -5.4592121971e-18
   2.0000000   -3.2826085463e-16   -6.3318530558e-17   -1.0054350121e-17   -4.6084546126e-18
   3.0000000    3.5642385302e-16   -1.0009370194e-16    6.9178917407e-17   -4.8806967890e-17
   4.0000000    1.4787398132e-17    3.7821883596e-17    9.4415349549e-17   -8.0568655142e-17
   5.0000000    4.7515122130e-17    1.7046965825e-16   -5.6399109466e-17   -9.5918135381e-17
   6.0000000    1.0699794361e-16    8.1334759057e-17   -1.0536159293e-17    1.8648905901e-17
   7.0000000    3.1465222150e-16    2.6074613897e-16   -5.3145703063e-17   -5.0907024655e-17
   8.0000000    6.5852503751e-16   -7.5137617059e-17    8.4367712847e-17    1.0212309655e-16
   9.0000000   -1.4026182896e-15   -2.5119617175e-16    9.4488918866e-17    3.1318870544e-18
  10.0000000   -3.4882155215e-15    2.2078833021e-16    1.7410699548e-17   -9.8150990722e-17
  11.0000000    1.2164625797e-14    1.2491990444e-15    1.9694097959e-17   -3.3514600491e-17
  12.0000000    1.6966895596e-14   -4.3598223337e-15   -8.1399621546e-17   -4.9566678407e-17
  13.0000000   -5.4547649902e-14   -4.0146255669e-15   -1.2384575275e-16   -8.1238379378e-17
  14.0000000   -1.0282867981e-13    1.5925699167e-14    5.0579972191e-17   -1.3886955714e-17
  15.0000000    1.1569450718e-13    1.4409660382e-14    6.6033502367e-17    2.8198483784e-17
  16.0000000    4.6602964984e-13   -2.8559989318e-14    1.8241995317e-16   -6.4150155122e-18
  17.0000000    3.0864322164e-13   -6.6688927566e-15    1.4077103783e-16   -2.4408325361e-17
  18.0000000   -5.9976431415e-13    7.9305299851e-14   -6.1532694863e-17   -5.0282214050e-17
  19.0000000   -1.3977863183e-12   -4.2846402764e-14   -2.6631394234e-16    6.6705048763e-17
  20.0000000   -1.0511864724e-12   -3.6402972184e-13    2.0877218406e-17   -9.6415769834e-17
  21.0000000    1.1536819310e-13   -2.5331622558e-13    2.5599957399e-16    2.3598061302e-17
  22.0000000    8.0320379738e-13    5.5644923893e-13    5.0506796063e-16   -4.6052866159e-17
  23.0000000    9.9635862014e-13    1.0802809094e-12    2.3932945224e-16   -9.0873544226e-17
  24.0000000    2.5572343175e-12    2.7581915462e-13   -1.4165741770e-16   -4.9485291319e-17
  25.0000000    6.0524618685e-12   -1.0339378680e-12   -5.3315216437e-16    3.3159129620e-17
  26.0000000    7.5725266317e-12   -1.3488969300e-12   -6.9050131638e-16    2.1072447775e-16
  27.0000000    5.7053566577e-13   -4.3005145438e-13   -2.0291827529e-16    3.9858441489e-16
  28.0000000   -1.7736068976e-11    1.3563681695e-12   -2.9688534941e-16    4.6526714553e-16
  29.0000000   -4.3247682743e-11   -1.3298341753e-12   -1.2200169937e-15   -2.4230784112e-17
  30.0000000   -7.2998947906e-11   -7.7855503949e-12   -3.0630542184e-15   -7.2821752657e-16
  31.0000000   -9.8195351229e-11   -1.4745050985e-11   -4.9538385516e-15   -1.7283079676e-15
  32.0000000   -1.1325695925e-10   -1.4426605930e-11   -4.7347939624e-15   -2.0993169141e-15
  33.0000000   -5.3867990162e-11    1.0105375307e-11   -5.9148504861e-16   -1.1924589290e-15
  34.0000000    8.9700384974e-11   -3.3369182588e-11    7.4357487181e-15    1.0722602166e-15
  35.0000000   -3.3266091259e-10   -2.3558278406e-10    1.5586353255e-14    4.1464291488e-15
  36.0000000   -6.8838784203e-10   -5.4435713534e-11    1.8697716566e-14    6.9896780071e-15
  37.0000000    7.5293782129e-10    3.7944010767e-10    1.2691524935e-14    7.9815319484e-15
  38.0000000    9.9554246270e-10    1.0744890444e-10   -1.7367883089e-15    5.9657327209e-15
  39.0000000   -1.2805295057e-09   -7.8967265460e-10   -1.8702548203e-14    9.4052233949e-16
  40.0000000   -9.0635788914e-10   -2.2057101810e-11   -2.8001468319e-14   -6.2954104934e-15
  41.0000000    1.0048255346e-09    6.2883880878e-10   -2.0671244826e-14   -1.4153847034e-14
  42.0000000    7.0568332447e-10   -3.6998685033e-10    5.1085817335e-15   -2.1410588973e-14
  43.0000000   -3.2714870857e-10    3.0739725654e-11    4.0254903919e-14   -2.7096320731e-14
  44.0000000   -7.0471775251e-10    2.8375930752e-10    6.7098002538e-14   -2.9889961209e-14
  45.0000000   -3.5319253852e-11   -4.0992335989e-10    6.5260570400e-14   -2.7365449495e-14
  46.0000000   -1.2649427425e-11    5.0740793707e-11    2.1213020850e-14   -1.5438838389e-14
  47.0000000   -9.6941130268e-10    3.1899403159e-11   -6.3462399904e-14    1.2458876905e-14
  48.0000000    2.0953925751e-09   -1.2434659856e-09   -1.7000146945e-13    6.3873160236e-14
  49.0000000    5.7635217296e-09    9.8170934310e-11   -2.6761734603e-13    1.4447381322e-13
  50.0000000    3.3995401966e-09    2.6585094992e-09   -3.2276769326e-13    2.5621800463e-13
  51.0000000   -7.9396777756e-10    1.4847606626e-09   -3.1029373523e-13    3.9691465103e-13
  52.0000000   -6.3933883955e-09   -3.4422330972e-09   -2.2448761261e-13    5.5944728027e-13
  53.0000000   -1.2610904946e-08   -7.2381357536e-09   -8.1381253220e-14    7.3458367760e-13
  54.0000000   -1.6812649304e-08   -5.5763298723e-09    8.4537506699e-14    9.1619475390e-13
  55.0000000   -1.1923674739e-08    1.4339432681e-09    2.2700672766e-13    1.1021583947e-12
  56.0000000    8.8153219414e-09    9.0149742812e-09    2.9789827927e-13    1.2978542836e-12
  57.0000000    3.0432507129e-08    1.0909098836e-08    2.5498781732e-13    1.5148951851e-12
  58.0000000    3.5714639404e-08    8.6619743683e-09    6.7666948923e-14    1.7682503982e-12
  59.0000000    2.3863310324e-08    6.8825067048e-09   -2.7702516415e-13    2.0726552631e-12
  60.0000000   -3.8120245579e-09    3.7124175421e-09   -7.6979592647e-13    2.4388951974e-12
  61.0000000   -2.9218330264e-08   -9.7161570728e-09   -1.3752359118e-12    2.8698523422e-12
  62.0000000   -2.6912791566e-08   -2.6112945547e-08   -2.0297597279e-12    3.3584474734e-12
  63.0000000   -5.0071163991e-09   -1.8817894300e-08   -2.6422766587e-12    3.8867970728e-12
  64.0000000   -5.9842612088e-09    1.3151062014e-08   -3.1016378922e-12    4.4281592252e-12
  65.0000000   -3.2575749169e-08    3.1295825796e-08   -3.2880684114e-12    4.9483703664e-12
  66.0000000   -2.4904350049e-08    1.2123764541e-08   -3.0906259122e-12    5.4110434982e-12
  67.0000000    2.4134132969e-08   -2.4549912547e-08   -2.4241862652e-12    5.7805621822e-12
  68.0000000    4.1518468895e-08   -4.5893140910e-08   -1.2470146111e-12    6.0304733405e-12
  69.0000000    5.3394110320e-09   -2.5715777050e-08    4.2956192021e-13    6.1467829958e-12
  70.0000000   -1.5248601643e-08    3.4424954184e-08    2.5384147505e-12    6.1334502184e-12
  71.0000000    1.3698392413e-08    7.6200570924e-08    4.9639134071e-12    6.0155453899e-12
  72.0000000    4.0553111942e-08    4.1725810831e-08    7.5555716187e-12    5.8361443168e-12
  73.0000000    2.6018092402e-08   -2.7773982251e-08    1.0148099077e-11    5.6529975509e-12
  74.0000000   -5.0903147812e-09   -5.0879827519e-08    1.2582829231e-11    5.5306490112e-12
  75.0000000   -2.4407903044e-08   -2.4894647323e-08    1.4725431864e-11    5.5281256984e-12
  76.0000000   -2.6557570590e-08    4.0832661782e-09    1.6478805035e-11    5.6912185450e-12
  77.0000000   -1.3076643174e-08    1.3936510011e-08    1.7788848230e-11    6.0437400990e-12
  78.0000000    7.7057312260e-09    6.2218099126e-09    1.8641339638e-11    6.5868242052e-12
  79.0000000    1.2851313921e-08   -1.2803876219e-08    1.9057506038e-11    7.3016519305e-12
  80.0000000   -6.7995903419e-09   -1.4339490265e-08    1.9083376038e-11    8.1557386791e-12
