#       time         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          200.000000          200.000000
  56.0000000    3.8798340300e-05   -7.7010685708e-04    4.3701581987e-08   -6.5699578983e-07
  57.0000000    3.6981534955e-04   -7.3274191866e-04    4.3680940935e-08   -6.5848583493e-07
  58.0000000    5.6698548968e-04   -5.8927436178e-04    4.3662320748e-08   -6.5990539889e-07
  59.0000000    7.0992156076e-04   -3.9944877656e-04    4.3644433385e-08   -6.6130093906e-07
  60.0000000    8.7924765768e-04   -2.0163194208e-04    4.3625892830e-08   -6.6271813937e-07
  61.0000000    1.0871686136e-03   -3.0598989926e-06    4.3605434201e-08   -6.6419573712e-07
  62.0000000    1.2798799738e-03    1.8296818101e-04    4.3582114829e-08   -6.6576040123e-07
  63.0000000    1.4048652722e-03    3.3747339273e-04    4.3555463114e-08   -6.6742339546e-07
  64.0000000    1.4203681085e-03    4.5075728291e-04    4.3525549662e-08   -6.6917948109e-07
  65.0000000    1.2610720924e-03    5.1011314379e-04    4.3492959900e-08   -6.7100814549e-07
  66.0000000    9.0724196838e-04    5.0579995222e-04    4.3458661539e-08   -6.7287689458e-07
  67.0000000    4.8239820908e-04    4.5194565220e-04    4.3423773301e-08   -6.7474605495e-07
  68.0000000    1.7168381494e-04    3.7768404249e-04    4.3389271797e-08   -6.7657432783e-07
  69.0000000    4.4238713114e-05    3.0453450450e-04    4.3355694180e-08   -6.7832427282e-07
  70.0000000    3.5721304520e-05    2.3745055262e-04    4.3322903339e-08   -6.7996695551e-07
  71.0000000    7.4402014833e-05    1.7357788527e-04    4.3289991468e-08   -6.8148515112e-07
  72.0000000    1.3543868110e-04    1.1628800140e-04    4.3255359117e-08   -6.8287474674e-07
  73.0000000    1.9038673374e-04    7.7635369764e-05    4.3216983786e-08   -6.8414425257e-07
  74.0000000    1.9408994953e-04    6.5713826328e-05    4.3172823954e-08   -6.8531259473e-07
  75.0000000    1.3418270642e-04    7.4010120261e-05    4.3121279571e-08   -6.8640559130e-07
  76.0000000    4.9504019542e-05    8.6888785021e-05    4.3061585528e-08   -6.8745165831e-07
  77.0000000   -4.6213264944e-06    9.0053735370e-05    4.2994040396e-08   -6.8847736295e-07
  78.0000000   -2.7358013233e-06    7.5939658740e-05    4.2920002709e-08   -6.8950342202e-07
  79.0000000    3.2768011274e-05    4.2805617987e-05    4.2841639749e-08   -6.9054165126e-07
  80.0000000    6.6106162786e-05   -5.6243752804e-06    4.2761484094e-08   -6.9159322370e-07
  81.0000000    9.4178570497e-05   -5.5653070409e-05    4.2681900022e-08   -6.9264840626e-07
  82.0000000    1.3168198320e-04   -8.6275714564e-05    4.2604591964e-08   -6.9368774834e-07
  83.0000000    1.6304485800e-04   -8.9488299757e-05    4.2530262625e-08   -6.9468451752e-07
  84.0000000    1.5727362270e-04   -8.1632899173e-05    4.2458495912e-08   -6.9560802587e-07
  85.0000000    1.2406801097e-04   -7.8853489888e-05    4.2387888742e-08   -6.9642739753e-07
  86.0000000    1.0338512365e-04   -7.5270949117e-05    4.2316377260e-08   -6.9711528780e-07
  87.0000000    1.0653976344e-04   -6.3651794550e-05    4.2241677014e-08   -6.9765109135e-07
  88.0000000    1.1239166669e-04   -5.7251073981e-05    4.2161721189e-08   -6.9802324592e-07
  89.0000000    1.1009856390e-04   -6.8680574988e-05    4.2075010165e-08   -6.9823036651e-07
  90.0000000    1.0785917612e-04   -8.6373530230e-05    4.1980793171e-08   -6.9828108220e-07
  91.0000000    1.0964484000e-04   -9.4116626885e-05    4.1879059936e-08   -6.9819261288e-07
  92.0000000    1.1091351959e-04   -9.4743842782e-05    4.1770344828e-08   -6.9798827162e-07
  93.0000000    1.0980958396e-04   -9.7097044586e-05    4.1655394253e-08   -6.9769421730e-07
  94.0000000    1.0712271765e-04   -1.0107261037e-04    4.1534789498e-08   -6.9733586908e-07
  95.0000000    1.0155738772e-04   -1.0476436644e-04    4.1408664448e-08   -6.9693443245e-07
  96.0000000    9.2754252960e-05   -1.0814830380e-04    4.1276652965e-08   -6.9650393741e-07
  97.0000000    8.4278691024e-05   -1.1007450913e-04    4.1138102135e-08   -6.9604906791e-07
  98.0000000    7.8980504166e-05   -1.1215541416e-04    4.0992408553e-08   -6.9556389297e-07
  99.0000000    7.5201826830e-05   -1.1791016981e-04    4.0839316890e-08   -6.9503147563e-07
 100.0000000    7.1456621169e-05   -1.2464568577e-04    4.0679390220e-08   -6.9442441129e-07
 101.0000000    6.8984361709e-05   -1.2756046060e-04    4.0515311525e-08   -6.9370669084e-07
 102.0000000    6.6644695419e-05   -1.2905912360e-04    4.0354137447e-08   -6.9283763263e-07
 103.0000000    6.1063177163e-05   -1.3285539716e-04    4.0207942954e-08   -6.9177803153e-07
 104.0000000    5.2956303398e-05   -1.3713299796e-04    4.0086768247e-08   -6.9049615273e-07
 105.0000000    4.5635360134e-05   -1.3906493892e-04    3.9979126530e-08   -6.8896744751e-07
 106.0000000    3.9622681235e-05   -1.3822040377e-04    3.9827860862e-08   -6.8716137745e-07
 107.0000000    3.4455383033e-05   -1.3673386652e-04    3.9529273473e-08   -6.8501825773e-07
 108.0000000    3.0011213516e-05   -1.3769007948e-04    3.8988523888e-08   -6.8243977181e-07
 109.0000000    2.4228668591e-05   -1.4069973144e-04    3.8224565186e-08   -6.7933334968e-07
 110.0000000    1.6758936492e-05   -1.4325346945e-04    3.7437241414e-08   -6.7573090724e-07
 111.0000000    1.1102228262e-05   -1.4544491763e-04    3.6904875087e-08   -6.7192386025e-07
 112.0000000    7.2243148522e-06   -1.4716954655e-04    3.6693812453e-08   -6.6845126452e-07
 113.0000000    9.9079396192e-07   -1.4688128122e-04    3.6458605550e-08   -6.6575623388e-07
 114.0000000   -6.6600697076e-06   -1.4563940248e-04    3.5860553667e-08   -6.6351604810e-07
 115.0000000   -1.1753162527e-05   -1.4468183084e-04    3.5868365442e-08   -6.6005517840e-07
 116.0000000   -1.6877028669e-05   -1.4282807798e-04    4.0124786205e-08   -6.5261149135e-07
 117.0000000   -2.5857242981e-05   -1.4089687243e-04    5.4146333509e-08   -6.3908752160e-07
 118.0000000   -3.4502507275e-05   -1.4084403547e-04    7.9895285864e-08   -6.2096204931e-07
 119.0000000   -3.8635006468e-05   -1.4077682223e-04    1.0601887841e-07   -6.0554047844e-07
 120.0000000   -4.1893659985e-05   -1.3893681275e-04    9.9966891074e-08   -6.0473888373e-07
 121.0000000   -4.7472607746e-05   -1.3729911123e-04    1.3965387140e-08   -6.2847787472e-07
 122.0000000   -5.3763987806e-05   -1.3623738877e-04   -1.8414282437e-07   -6.7408354757e-07
 123.0000000   -6.0212385979e-05   -1.3361372500e-04   -4.5786181375e-07   -7.1763109389e-07
 124.0000000   -6.7239019075e-05   -1.2959273869e-04   -6.5456388975e-07   -7.1587784525e-07
 125.0000000   -7.3419466667e-05   -1.2585797620e-04   -5.1402696819e-07   -6.2494920624e-07
