#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
   1.0000000    2.0541329652e-05   -3.5520238280e-12    1.3372029927e-06   -7.5360303463e-14    2.5170580146e-09    1.1139567892e-14
   2.0000000    2.0507925897e-05   -2.2029202555e-12    1.3402195646e-06   -2.5484750019e-13    9.7064585399e-10    1.2190124837e-14
   3.0000000    2.0497140969e-05    1.2131612013e-12    1.3427603525e-06   -2.8089482891e-13    8.4743866416e-08   -8.2267872760e-15
   4.0000000    2.0663878490e-05    3.0143121544e-12    1.3416483052e-06   -1.5755998130e-13    8.3374262389e-08   -1.2921875387e-14
   5.0000000    2.0675596367e-05    2.1066412038e-12    1.3397007161e-06   -3.9908448142e-14    8.6509225262e-08   -1.7685457801e-14
   6.0000000    2.0507014963e-05    4.2740535448e-12    1.3422485411e-06    4.9491286791e-14    8.5244895615e-08   -1.6808394405e-14
   7.0000000    2.0414996622e-05    7.7167329269e-12    1.3501221711e-06    1.1835183649e-13    8.7491153323e-08   -1.5171679515e-14
   8.0000000    2.0433167584e-05    9.0768216553e-12    1.3586074306e-06    1.4438174985e-13    8.6103786029e-08   -1.2698412672e-14
   9.0000000    2.0469256675e-05    1.0352847083e-11    1.3626150490e-06    1.4116522289e-13    8.7711151990e-08   -8.3079122804e-15
  10.0000000    2.0482669651e-05    1.0998297835e-11    1.3608232337e-06    1.5840959354e-13    8.6206215141e-08   -7.8173596816e-15
  11.0000000    2.0465388497e-05    8.7242344977e-12    1.3553420336e-06    2.2650766830e-13    8.7797062490e-08   -2.7085595597e-15
  12.0000000    2.0409520413e-05    4.9405226695e-12    1.3493055697e-06    3.3432392040e-13    8.6352004025e-08   -3.4315861582e-15
  13.0000000    2.0316601814e-05    2.4484903208e-12    1.3450520242e-06    4.4766670980e-13    8.8478937086e-08    1.8311265050e-15
  14.0000000    2.0204604004e-05   -7.6339974060e-13    1.3434136317e-06    5.4008911854e-13    8.7166236981e-08    7.7687892945e-16
  15.0000000    2.0096107515e-05   -6.7283312935e-12    1.3438933646e-06    6.0597116670e-13    8.9718666569e-08    4.9684614193e-15
  16.0000000    2.0001244145e-05   -1.4090515529e-11    1.3454151483e-06    6.5416418392e-13    8.8480971692e-08    3.7314979356e-15
  17.0000000    1.9912972420e-05   -2.1678744966e-11    1.3470631914e-06    6.9357337115e-13    9.0890322817e-08    7.0165754618e-15
  18.0000000    1.9814315997e-05   -2.6212551161e-11    1.3483595189e-06    7.2513149968e-13    8.9683897889e-08    6.3541487354e-15
  19.0000000    1.9686367307e-05   -2.3305468586e-11    1.3491549646e-06    7.4282364562e-13    9.1388941021e-08    9.5748436733e-15
  20.0000000    1.9513341638e-05   -1.4031964626e-11    1.3494522401e-06    7.3868512719e-13    9.0189083187e-08    9.5734436253e-15
  21.0000000    1.9284138864e-05   -4.9182770565e-12    1.3493127932e-06    7.0754355861e-13    9.0583398255e-08    1.3157444802e-14
  22.0000000    1.8991177012e-05   -5.0933330523e-12    1.3488099591e-06    6.5172892763e-13    8.9337353108e-08    1.3623499705e-14
  23.0000000    1.8623603011e-05   -1.8661134862e-11    1.3479833476e-06    5.8517885265e-13    8.7999169964e-08    1.7510072094e-14
  24.0000000    1.8162134667e-05   -2.7097907682e-11    1.3468129176e-06    5.2006468107e-13    8.6693079289e-08    1.7937354245e-14
  25.0000000    1.7596796782e-05   -4.7453696552e-12    1.3452408891e-06    4.5134163908e-13    8.3753104951e-08    2.2812176176e-14
  26.0000000    1.6929080585e-05    2.6074007246e-11    1.3432299998e-06    3.5311639362e-13    8.2417090725e-08    2.2743744381e-14
  27.0000000    1.6128409858e-05    2.3006704137e-11    1.3408157557e-06    1.9605901517e-13    7.8223519911e-08    2.8425871316e-14
  28.0000000    1.5120916332e-05    7.0263591852e-12    1.3381136514e-06   -3.0764863379e-14    7.6855758971e-08    2.7871599649e-14
  29.0000000    1.3600014592e-05    2.1468236776e-11    1.3352731829e-06   -3.1555190389e-13    7.1996724568e-08    3.4047571392e-14
  30.0000000    1.0518839614e-05    4.5514374426e-11    1.3324095367e-06   -6.3994991859e-13    7.0630851379e-08    3.3124619835e-14
  31.0000000    4.8807318617e-06    3.1140848436e-11    1.3295608097e-06   -9.9307970950e-13    6.6352237640e-08    3.8772630762e-14
  32.0000000    3.8923439489e-07   -5.8490214367e-13    1.3266922294e-06   -1.3667386376e-12    6.5029332024e-08    3.7789839813e-14
  33.0000000    1.0563672540e-05   -6.7403867929e-12    1.3237266327e-06   -1.7341521479e-12    6.2721499993e-08    4.1914316112e-14
  34.0000000    4.5899244139e-05   -2.5106027941e-11    1.3205730335e-06   -2.0341563318e-12    6.1388660400e-08    4.1241082128e-14
  35.0000000    7.5163446905e-05   -9.3752044617e-11    1.3171516330e-06   -2.1808378993e-12    6.2326232521e-08    4.3513375912e-14
  36.0000000    2.5879263232e-05   -1.9879381556e-10    1.3134218065e-06   -2.0974750874e-12    6.0999148460e-08    4.3593426182e-14
  37.0000000   -1.1285326163e-04   -2.9927534676e-10    1.3093949177e-06   -1.7583825583e-12    6.6707995173e-08    4.4416269923e-14
  38.0000000   -2.1817687413e-04   -1.4698769043e-10    1.3051053479e-06   -1.2153686119e-12    6.5439731879e-08    4.5105820701e-14
  39.0000000   -1.6395012027e-04    4.0759463865e-10    1.3005480265e-06   -5.9494697299e-13    7.6964162058e-08    4.5516654898e-14
  40.0000000    6.9228298471e-06    2.5333068160e-10    1.2956234617e-06   -6.6627215040e-14    7.5674412631e-08    4.6338257595e-14
  41.0000000    1.3920290566e-04   -1.1528587463e-09    1.2901195083e-06    2.0611630591e-13    9.3005412319e-08    4.6309717852e-14
  42.0000000    1.4329564191e-04   -9.2684360770e-10    1.2837417983e-06    1.2090791972e-13    9.1703336199e-08    4.6459309873e-14
  43.0000000    2.8740475736e-05    1.4942725325e-09    1.2762346341e-06   -3.1779152452e-13    1.1421440454e-07    4.6532524607e-14
  44.0000000   -1.6247475551e-04    1.7109102318e-09    1.2676431728e-06   -9.8574859460e-13    1.1297624259e-07    4.5845915072e-14
  45.0000000   -3.5643091981e-04   -4.8563483560e-10    1.2586003299e-06   -1.6800034781e-12    1.3880198155e-07    4.6207247036e-14
  46.0000000   -4.5239389560e-04   -1.8119995325e-09    1.2502193006e-06   -2.2000038433e-12    1.3753782600e-07    4.5435479783e-14
  47.0000000   -4.2311415202e-04   -1.2260475474e-09    1.2431850702e-06   -2.4208408395e-12    1.6300880498e-07    4.5669295527e-14
  48.0000000   -3.5856840161e-04    1.2154228118e-09    1.2364362864e-06   -2.2975411069e-12    1.6172399612e-07    4.5416722506e-14
  49.0000000   -3.6305086644e-04    2.1388602887e-09    1.2269033900e-06   -1.7785727104e-12    1.8227232204e-07    4.4026440219e-14
