#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
   1.0000000    2.5017844672e-05   -3.2675168503e-05    1.6269557408e-06   -4.4733803064e-06    1.8829270110e-09   -2.0383627733e-08
   2.0000000    2.5007281000e-05   -3.3089532762e-05    1.6266326503e-06   -4.5101462307e-06    1.8978202463e-09   -1.5311484660e-08
   3.0000000    2.4993061215e-05   -3.3476568124e-05    1.6262787043e-06   -4.5464897827e-06    1.0231188658e-07   -5.9270754528e-07
   4.0000000    2.4974272220e-05   -3.3831659328e-05    1.6258948787e-06   -4.5823614171e-06    1.0231550780e-07   -5.8763034855e-07
   5.0000000    2.4950087200e-05   -3.4153523440e-05    1.6254799319e-06   -4.6176786717e-06    1.0228717253e-07   -5.9804061433e-07
   6.0000000    2.4919630490e-05   -3.4439633699e-05    1.6250280537e-06   -4.6523463965e-06    1.0227952886e-07   -5.9296360719e-07
   7.0000000    2.4881776938e-05   -3.4684539135e-05    1.6245331427e-06   -4.6863399798e-06    1.0226087537e-07   -6.0335051473e-07
   8.0000000    2.4834857869e-05   -3.4881879393e-05    1.6239914705e-06   -4.7196970046e-06    1.0224211810e-07   -5.9827458483e-07
   9.0000000    2.4777091603e-05   -3.5025846570e-05    1.6234007036e-06   -4.7524429156e-06    1.0223311808e-07   -6.0862208025e-07
  10.0000000    2.4706955692e-05   -3.5110368170e-05    1.6227585267e-06   -4.7845573668e-06    1.0220322622e-07   -6.0353911309e-07
  11.0000000    2.4622861533e-05   -3.5128038334e-05    1.6220618911e-06   -4.8159856195e-06    1.0220451384e-07   -6.1384492479e-07
  12.0000000    2.4522632462e-05   -3.5069755719e-05    1.6213063242e-06   -4.8466544518e-06    1.0216332608e-07   -6.0874851942e-07
  13.0000000    2.4403266543e-05   -3.4924471860e-05    1.6204853815e-06   -4.8764846516e-06    1.0217591367e-07   -6.1902464217e-07
  14.0000000    2.4260908935e-05   -3.4679090401e-05    1.6195907162e-06   -4.9054028335e-06    1.0212338354e-07   -6.1391728007e-07
  15.0000000    2.4090798192e-05   -3.4318693139e-05    1.6186127724e-06   -4.9333469772e-06    1.0214773108e-07   -6.2417749392e-07
  16.0000000    2.3887193325e-05   -3.3826886080e-05    1.6175416811e-06   -4.9602634705e-06    1.0208394457e-07   -6.1906438304e-07
  17.0000000    2.3643359263e-05   -3.3185827670e-05    1.6163678953e-06   -4.9861000838e-06    1.0211907513e-07   -6.2930821425e-07
  18.0000000    2.3351500783e-05   -3.2375676984e-05    1.6150823037e-06   -5.0107995364e-06    1.0204410342e-07   -6.2419172505e-07
  19.0000000    2.3002607457e-05   -3.1373571050e-05    1.6136758940e-06   -5.0342956894e-06    1.0208780997e-07   -6.3440122581e-07
  20.0000000    2.2586096586e-05   -3.0152431382e-05    1.6121392904e-06   -5.0565119472e-06    1.0200164574e-07   -6.2928104195e-07
  21.0000000    2.2088749718e-05   -2.8679736216e-05    1.6104624499e-06   -5.0773602272e-06    1.0205206807e-07   -6.3942696501e-07
  22.0000000    2.1493572198e-05   -2.6916454331e-05    1.6086345886e-06   -5.0967395257e-06    1.0195467109e-07   -6.3430057636e-07
  23.0000000    2.0780790767e-05   -2.4816280584e-05    1.6066441870e-06   -5.1145343570e-06    1.0201238755e-07   -6.4435082872e-07
  24.0000000    1.9928485341e-05   -2.2324195298e-05    1.6044788799e-06   -5.1306136103e-06    1.0190373936e-07   -6.3921444690e-07
  25.0000000    1.8905430232e-05   -1.9373881467e-05    1.6021251046e-06   -5.1448300175e-06    1.0197290606e-07   -6.4914502388e-07
