# time		E at 10.0	55.5		101.0		146.5		192.0		J
#
0.000000	2013.780552	5907.806778	24659.472328	70117.055534	154159.420816	-152424.625625
0.400000	2079.799354	5973.896067	24725.461474	70182.781405	154224.758349	-152423.821820
0.800000	2114.941403	6008.801220	24760.270212	70217.384297	154259.021658	-152422.861939
1.200000	2131.404165	6025.056651	24776.305831	70233.145215	154274.445169	-152420.286513
1.600000	2137.387701	6030.943039	24781.948958	70238.452129	154279.390930	-152416.498659
2.000000	2136.551115	6030.059261	24780.863443	70237.054128	154277.617671	-152411.849242
2.400000	2130.868543	6024.301395	24774.976380	70230.927586	154271.133522	-152406.615939
2.800000	2121.597166	6014.977521	24765.573175	70221.337468	154261.230135	-152401.038936
3.200000	2109.682938	6003.038952	24753.547079	70209.133468	154248.759544	-152395.331725
3.600000	2095.887347	5989.232790	24739.624088	70195.022220	154234.407495	-152389.678943
4.000000	2080.831781	5974.184466	24724.453946	70179.661313	154218.804934	-152384.234044
4.400000	2065.052428	5958.405848	24708.574214	70163.600703	154202.488347	-152379.123376
4.800000	2048.951296	5942.308472	24692.398877	70147.257501	154185.881402	-152374.455170
5.200000	2032.886098	5926.240451	24676.263445	70130.964562	154169.335461	-152370.327437
5.600000	2017.179723	5910.539053	24660.494589	70115.047482	154153.191503	-152366.830933
6.000000	2002.205201	5895.583309	24645.470293	70099.885151	154137.830103	-152364.047799
6.400000	1988.403694	5881.820626	24631.642293	70085.928088	154123.690216	-152362.048543
6.800000	1976.287249	5869.762414	24619.524717	70073.685830	154111.266005	-152360.889101
7.200000	1966.415798	5859.959969	24609.667936	70063.704263	154101.094783	-152360.608225
